,failed,32,54,55,58,59,60,61,63,76,77,79,80,82,83,84,85,86,87,88,89,93,94,95,97,100,102,103,104,114,115,116,117,128
org.apache.commons.lang3.reflect.TypeUtilsTest::testDetermineTypeVariableAssignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testGetRawType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsArrayTypeClasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testIsArrayGenericTypes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testGetPrimitiveArrayComponentType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.reflect.TypeUtilsTest::testGetArrayComponentType,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.text.translate.LookupTranslatorTest::testBasicLookup,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.commons.lang3.text.translate.UnicodeEscaperTest::testBelow,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,x
org.apache.commons.lang3.text.translate.UnicodeEscaperTest::testBetween,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x
org.apache.commons.lang3.text.translate.UnicodeEscaperTest::testAbove,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,x
org.apache.commons.lang3.text.translate.UnicodeUnescaperTest::testUPlus,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.UnicodeUnescaperTest::testUuuuu,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.UnicodeUnescaperTest::testLessThanFour,,x,x,,x,x,,,,x,,x,,x,x,x,x,x,x,x,x,,,,,,x,x,,,,,,
org.apache.commons.lang3.text.translate.OctalUnescaperTest::testBetween,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityEscaperTest::testBelow,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityEscaperTest::testBetween,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityEscaperTest::testAbove,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityEscaperTest::testSupplementary,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,,x,x,,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testSupplementaryUnescaping,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testOutOfBounds,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,,,,,,x,x,x,,,,,
org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest::testUnfinishedEntity,,x,x,,x,x,x,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,
